movie,lead
All That Jazz,Roy Scheider
Dawn of the Dead,David Emge
All the President's Men,Dustin Hoffman
La montaña sagrada,Alejandro Jodorowsky
Amarcord,Magali Noël
Le charme discret de la bourgeoisie,Fernando Rey
"Aguirre, der Zorn Gottes",Klaus Kinski
Harold and Maude,Ruth Gordon
Patton,George C. Scott
The Wild Bunch,William Holden
Night of the Living Dead,Duane Jones
The Lion in Winter,Peter O'Toole
In the Heat of the Night,Sidney Poitier
Charade,Cary Grant
The Manchurian Candidate,Frank Sinatra
Spartacus,Kirk Douglas
L'avventura,Gabriele Ferzetti
Hiroshima mon amour,Emmanuelle Riva
The Ten Commandments,Charlton Heston
The Searchers,John Wayne
East of Eden,James Dean
High Noon,Gary Cooper
Strangers on a Train,Farley Granger
Harvey,James Stewart
Miracle on 34th Street,Edmund Gwenn
Notorious,Cary Grant
The Big Sleep,Humphrey Bogart
The Lost Weekend,Ray Milland
The Philadelphia Story,Cary Grant
His Girl Friday,Cary Grant
The Adventures of Robin Hood,William Keighley
A Night at the Opera,Edmund Goulding
King Kong,Ernest B. Schoedsack
Freaks,Wallace Ford
Nosferatu,Max Schreck
The Gentlemen,Matthew McConaughey
Raazi,Alia Bhatt
Sound of Metal,Riz Ahmed
Forushande,Shahab Hosseini
Dunkirk,Fionn Whitehead
Perfetti sconosciuti,Giuseppe Battiston
Hidden Figures,Taraji P. Henson
Paddington 2,Ben Whishaw
Udta Punjab,Shahid Kapoor
Kubo and the Two Strings,Charlize Theron
M.S. Dhoni: The Untold Story,Sushant Singh Rajput
Manchester by the Sea,Casey Affleck
Under sandet,Roland Møller
Rogue One,Felicity Jones
Captain America: Civil War,Joe Russo
The Hateful Eight,Samuel L. Jackson
Little Women,Saoirse Ronan
Loving Vincent,Hugh Welchman
Pride,Bill Nighy
Le passé,Bérénice Bejo
La grande bellezza,Toni Servillo
The Lunchbox,Irrfan Khan
Vicky Donor,Ayushmann Khurrana
Big Hero 6,Chris Williams
About Time,Domhnall Gleeson
English Vinglish,Sridevi
Kaze tachinu,Hideaki Anno
Toy Story 4,Tom Hanks
La migliore offerta,Geoffrey Rush
Moonrise Kingdom,Jared Gilman
How to Train Your Dragon 2,Jay Baruchel
The Big Short,Christian Bale
Kokuhaku,Takako Matsu
Ang-ma-reul bo-at-da,Lee Byung-Hun
The Girl with the Dragon Tattoo,Daniel Craig
Captain Phillips,Tom Hanks
Ajeossi,Won Bin
Straight Outta Compton,O'Shea Jackson Jr.
Madeo,Hye-ja Kim
Chugyeokja,Kim Yoon-seok
The Hobbit: The Desolation of Smaug,Ian McKellen
Das weiße Band - Eine deutsche Kindergeschichte,Christian Friedel
Män som hatar kvinnor,Michael Nyqvist
The Trial of the Chicago 7,Eddie Redmayne
Druk,Mads Mikkelsen
The Fighter,Mark Wahlberg
Taken,Liam Neeson
The Boy in the Striped Pyjamas,Asa Butterfield
Once,Glen Hansard
The Hobbit: An Unexpected Journey,Martin Freeman
Auf der anderen Seite,Baki Davrak
Atonement,Keira Knightley
Drive,Ryan Gosling
American Gangster,Denzel Washington
Avatar,Sam Worthington
Mr. Nobody,Jared Leto
Apocalypto,Gerardo Taracena
Little Miss Sunshine,Valerie Faris
Hot Fuzz,Simon Pegg
The Curious Case of Benjamin Button,Brad Pitt
Veer-Zaara,Shah Rukh Khan
Adams æbler,Ulrich Thomsen
Pride & Prejudice,Keira Knightley
The World's Fastest Indian,Anthony Hopkins
Tôkyô goddofâzâzu,Shôgo Furuya
Serenity,Nathan Fillion
Walk the Line,Joaquin Phoenix
Ondskan,Andreas Wilson
The Notebook,Gena Rowlands
Diarios de motocicleta,Gael García Bernal
Lilja 4-ever,Oksana Akinshina
Les triplettes de Belleville,Michèle Caucheteux
Gongdong gyeongbi guyeok JSA,Lee Yeong-ae
The Count of Monte Cristo,Jim Caviezel
Waking Life,Ethan Hawke
Remember the Titans,Denzel Washington
Wo hu cang long,Yun-Fat Chow
Todo sobre mi madre,Cecilia Roth
Cast Away,Tom Hanks
The Boondock Saints,Willem Dafoe
The Insider,Russell Crowe
October Sky,Jake Gyllenhaal
Shrek,Vicky Jenson
Titanic,Leonardo DiCaprio
Hana-bi,Takeshi Kitano
Gattaca,Ethan Hawke
The Game,Michael Douglas
Breaking the Waves,Emily Watson
Ed Wood,Johnny Depp
What's Eating Gilbert Grape,Johnny Depp
Tombstone,Kevin Jarre
The Sandlot,Tom Guiry
The Remains of the Day,Anthony Hopkins
Naked,David Thewlis
The Fugitive,Harrison Ford
A Bronx Tale,Robert De Niro
Batman: Mask of the Phantasm,Boyd Kirkland
Lat sau san taam,Yun-Fat Chow
Night on Earth,Winona Ryder
La double vie de Véronique,Irène Jacob
Boyz n the Hood,Cuba Gooding Jr.
Misery,James Caan
Awakenings,Robert De Niro
Majo no takkyûbin,Kirsten Dunst
Glory,Matthew Broderick
Dip huet seung hung,Yun-Fat Chow
Back to the Future Part II,Michael J. Fox
Mississippi Burning,Gene Hackman
Predator,Arnold Schwarzenegger
Evil Dead II,Bruce Campbell
Ferris Bueller's Day Off,Matthew Broderick
Down by Law,Tom Waits
The Goonies,Sean Astin
The Color Purple,Danny Glover
The Breakfast Club,Emilio Estevez
The Killing Fields,Sam Waterston
Ghostbusters,Bill Murray
The Right Stuff,Sam Shepard
The King of Comedy,Robert De Niro
E.T. the Extra-Terrestrial,Henry Thomas
Kramer vs. Kramer,Dustin Hoffman
Days of Heaven,Richard Gere
The Outlaw Josey Wales,Clint Eastwood
The Man Who Would Be King,Sean Connery
The Conversation,Gene Hackman
La planète sauvage,Barry Bostwick
The Day of the Jackal,Edward Fox
